{'R_i': 0.015,
 'h_fc': 0.005,
 'R_s': 0.12,
 'R_o': 0.05,
 'R_e': 0.3,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	n_II[]	n_IV[]	h_gap[mm]	B_max[T]	K[]
35.0	2	3	17.000	1.105	1.219
35.0	2	4	17.000	1.105	1.189
35.0	3	3	17.000	1.105	1.221
35.0	3	4	17.000	1.105	1.185
45.0	2	3	17.000	1.105	0.129
45.0	2	4	17.000	1.105	0.131
45.0	3	3	17.000	1.105	0.131
45.0	3	4	17.000	1.105	0.141
55.0	2	3	17.000	1.105	0.164
55.0	2	4	17.000	1.105	0.107
55.0	3	3	17.000	1.105	0.180
55.0	3	4	17.000	1.105	0.054
35.0	2	3	17.250	1.105	1.236
35.0	2	4	17.250	1.105	1.188
35.0	3	3	17.250	1.105	1.227
35.0	3	4	17.250	1.105	1.190
45.0	2	3	17.250	1.105	0.117
45.0	2	4	17.250	1.105	0.114
45.0	3	3	17.250	1.105	0.121
45.0	3	4	17.250	1.105	0.116
55.0	2	3	17.250	1.105	0.172
55.0	2	4	17.250	1.105	0.102
55.0	3	3	17.250	1.105	0.184
55.0	3	4	17.250	1.105	0.053
35.0	2	3	17.500	1.105	1.243
35.0	2	4	17.500	1.105	1.192
35.0	3	3	17.500	1.105	1.235
35.0	3	4	17.500	1.105	1.197
45.0	2	3	17.500	1.105	0.121
45.0	2	4	17.500	1.105	0.138
45.0	3	3	17.500	1.105	0.117
45.0	3	4	17.500	1.105	0.112
55.0	2	3	17.500	1.105	0.178
55.0	2	4	17.500	1.105	0.107
55.0	3	3	17.500	1.105	0.191
55.0	3	4	17.500	1.105	0.056
35.0	2	3	17.750	1.105	1.245
35.0	2	4	17.750	1.105	1.194
35.0	3	3	17.750	1.105	1.234
35.0	3	4	17.750	1.105	1.198
45.0	2	3	17.750	1.105	0.098
45.0	2	4	17.750	1.105	0.108
45.0	3	3	17.750	1.105	0.110
45.0	3	4	17.750	1.105	0.109
55.0	2	3	17.750	1.105	0.188
55.0	2	4	17.750	1.105	0.100
